seqnames,gc,gcmed
chr3,0.23,6826.5
chr3,0.24,11348
chr3,0.25,18023.5
chr3,0.26,25563.5
chr3,0.27,33941.5
chr3,0.28,45728.5
chr3,0.29,52858.5
chr3,0.3,64722.5
chr3,0.31,73251.5
chr3,0.32,82170
chr3,0.33,84095.5
chr3,0.34,99986
chr3,0.35,98553
chr3,0.36,102044.5
chr3,0.37,97596
chr3,0.38,102626
chr3,0.39,97103
chr3,0.4,93644
chr3,0.41,87340.5
chr3,0.42,83061
chr3,0.43,76449
chr3,0.44,71460
chr3,0.45,66857
chr3,0.46,62643
chr3,0.47,55900.5
chr3,0.48,52245
chr3,0.49,50535.5
chr3,0.5,41707
chr3,0.51,42649
chr3,0.52,36884.5
chr3,0.53,31572
chr3,0.54,26872.5
chr3,0.55,21400
chr3,0.56,16770.5
chr3,0.57,13331.5
chr3,0.58,10504.5
chr3,0.59,8461
chr3,0.6,6842.5
chr3,0.61,5375
chr3,0.62,4226.5
chr3,0.63,3006
chr3,0.64,2438
chr3,0.65,1731
chr3,0.66,1304
chr3,0.67,834
chr3,0.68,658
chr3,0.69,499.5
chr3,0.7,410
chr3,0.71,329
chr3,0.72,296
chr3,0.73,243
chr3,0.74,194.5
chr3,0.75,159.5
chr3,0.76,128.5
chr3,0.77,110
chr3,0.78,95.5
chr3,0.79,79.5
chr3,0.8,68
chr4,0.2,970.5
chr4,0.21,2328.5
chr4,0.22,5169
chr4,0.23,9355.5
chr4,0.24,15060
chr4,0.25,23555
chr4,0.26,32141
chr4,0.27,42438
chr4,0.28,55410.5
chr4,0.29,62494.5
chr4,0.3,74513.5
chr4,0.31,82098.5
chr4,0.32,90179.5
chr4,0.33,90194
chr4,0.34,104603.5
chr4,0.35,101379.5
chr4,0.36,101898.5
chr4,0.37,95341
chr4,0.38,97864
chr4,0.39,90748
chr4,0.4,85773
chr4,0.41,78123
chr4,0.42,72649.5
chr4,0.43,65547.5
chr4,0.44,59850
chr4,0.45,55009
chr4,0.46,50208
chr4,0.47,43705.5
chr4,0.48,40069
chr4,0.49,37764.5
chr4,0.5,30583
chr4,0.51,31061.5
chr4,0.52,26191
chr4,0.53,21985.5
chr4,0.54,18583
chr4,0.55,13999
chr4,0.56,10614
chr4,0.57,8287.5
chr4,0.58,6432
chr4,0.59,5144.5
chr4,0.6,4156
chr4,0.61,3375.5
chr4,0.62,2838.5
chr4,0.63,2255
chr4,0.64,2015.5
chr4,0.65,1666.5
chr4,0.66,1451.5
chr4,0.67,1022.5
chr4,0.68,881.5
chr4,0.69,696.5
chr4,0.7,537.5
chr4,0.71,400
chr4,0.72,327.5
chr4,0.73,247.5
chr4,0.74,183.5
chr4,0.75,144
chr4,0.76,116
chr4,0.77,100.5
chr4,0.78,84.5
chr4,0.79,72
chr4,0.8,59
chr5,0.2,680.5
chr5,0.21,1586
chr5,0.22,3545.5
chr5,0.23,6548
chr5,0.24,10884.5
chr5,0.25,17141
chr5,0.26,24078
chr5,0.27,32508
chr5,0.28,42943.5
chr5,0.29,49051.5
chr5,0.3,59392
chr5,0.31,66523
chr5,0.32,74680.5
chr5,0.33,75762
chr5,0.34,90060.5
chr5,0.35,88652.5
chr5,0.36,91323.5
chr5,0.37,86890
chr5,0.38,91004.5
chr5,0.39,86101.5
chr5,0.4,83231
chr5,0.41,77518
chr5,0.42,73825
chr5,0.43,67710.5
chr5,0.44,63133
chr5,0.45,59149
chr5,0.46,55677.5
chr5,0.47,49508.5
chr5,0.48,46478.5
chr5,0.49,44707.5
chr5,0.5,36652
chr5,0.51,37910
chr5,0.52,32459
chr5,0.53,27491.5
chr5,0.54,23333.5
chr5,0.55,18329.5
chr5,0.56,14401.5
chr5,0.57,11464
chr5,0.58,8847.5
chr5,0.59,7123
chr5,0.6,5697
chr5,0.61,4586
chr5,0.62,3592.5
chr5,0.63,2657.5
chr5,0.64,2190
chr5,0.65,1663
chr5,0.66,1348
chr5,0.67,933
chr5,0.68,781
chr5,0.69,596.5
chr5,0.7,470
chr5,0.71,361.5
chr5,0.72,319
chr5,0.73,244
chr5,0.74,200
chr5,0.75,167.5
chr5,0.76,137.5
chr5,0.77,118
chr5,0.78,106
chr5,0.79,82
chr5,0.8,68
chr6,0.2,622.5
chr6,0.21,1456
chr6,0.22,3308
chr6,0.23,6277.5
chr6,0.24,10288
chr6,0.25,16325
chr6,0.26,23017
chr6,0.27,30567
chr6,0.28,41192
chr6,0.29,47070
chr6,0.3,57230.5
chr6,0.31,64204
chr6,0.32,71056.5
chr6,0.33,72256
chr6,0.34,85473
chr6,0.35,83858
chr6,0.36,85519.5
chr6,0.37,81771.5
chr6,0.38,85836
chr6,0.39,81984
chr6,0.4,79860
chr6,0.41,74625
chr6,0.42,71101.5
chr6,0.43,65094.5
chr6,0.44,60284.5
chr6,0.45,56548
chr6,0.46,53101
chr6,0.47,47611
chr6,0.48,44536.5
chr6,0.49,43018.5
chr6,0.5,35679.5
chr6,0.51,36671
chr6,0.52,31727.5
chr6,0.53,27214.5
chr6,0.54,23063.5
chr6,0.55,17956.5
chr6,0.56,13776
chr6,0.57,10919.5
chr6,0.58,8542
chr6,0.59,6738
chr6,0.6,5307.5
chr6,0.61,4083
chr6,0.62,3260.5
chr6,0.63,2337.5
chr6,0.64,1866.5
chr6,0.65,1355.5
chr6,0.66,1064
chr6,0.67,715.5
chr6,0.68,596
chr6,0.69,466
chr6,0.7,393.5
chr6,0.71,317.5
chr6,0.72,299
chr6,0.73,239
chr6,0.74,206
chr6,0.75,165.5
chr6,0.76,132
chr6,0.77,109.5
chr6,0.78,91.5
chr6,0.79,78.5
chr6,0.8,63
chr7,0.2,478.5
chr7,0.21,1187
chr7,0.22,2720.5
chr7,0.23,4958
chr7,0.24,8346
chr7,0.25,13271
chr7,0.26,18655
chr7,0.27,25129.5
chr7,0.28,33681
chr7,0.29,38194
chr7,0.3,46218.5
chr7,0.31,52222
chr7,0.32,57875
chr7,0.33,58913
chr7,0.34,70048
chr7,0.35,69353
chr7,0.36,71031
chr7,0.37,68196.5
chr7,0.38,71254
chr7,0.39,67540
chr7,0.4,65407
chr7,0.41,61326
chr7,0.42,58601
chr7,0.43,54442
chr7,0.44,51602
chr7,0.45,49373
chr7,0.46,47473
chr7,0.47,43141
chr7,0.48,41407.5
chr7,0.49,40714.5
chr7,0.5,34558
chr7,0.51,36485.5
chr7,0.52,31875
chr7,0.53,27752
chr7,0.54,23857.5
chr7,0.55,18819.5
chr7,0.56,14866
chr7,0.57,12215.5
chr7,0.58,9754
chr7,0.59,8199.5
chr7,0.6,6801.5
chr7,0.61,5618
chr7,0.62,4763
chr7,0.63,3759.5
chr7,0.64,3258.5
chr7,0.65,2648
chr7,0.66,2231.5
chr7,0.67,1581.5
chr7,0.68,1312
chr7,0.69,964
chr7,0.7,723
chr7,0.71,541
chr7,0.72,437.5
chr7,0.73,334
chr7,0.74,258
chr7,0.75,212.5
chr7,0.76,167
chr7,0.77,145.5
chr7,0.78,123
chr7,0.79,96.5
chr7,0.8,76
chr8,0.2,484
chr8,0.21,1145
chr8,0.22,2570.5
chr8,0.23,4867.5
chr8,0.24,8067.5
chr8,0.25,12670.5
chr8,0.26,17886
chr8,0.27,24051.5
chr8,0.28,32460.5
chr8,0.29,37338.5
chr8,0.3,45315
chr8,0.31,51238.5
chr8,0.32,57742.5
chr8,0.33,59026.5
chr8,0.34,70017
chr8,0.35,69880
chr8,0.36,72346
chr8,0.37,69039.5
chr8,0.38,73356
chr8,0.39,69781
chr8,0.4,67528.5
chr8,0.41,63513.5
chr8,0.42,61110
chr8,0.43,56573.5
chr8,0.44,53547.5
chr8,0.45,50705
chr8,0.46,48212
chr8,0.47,43129.5
chr8,0.48,40586
chr8,0.49,38844
chr8,0.5,32018
chr8,0.51,32936.5
chr8,0.52,27930.5
chr8,0.53,23660
chr8,0.54,20115.5
chr8,0.55,15862
chr8,0.56,12397.5
chr8,0.57,10174
chr8,0.58,8161
chr8,0.59,6687.5
chr8,0.6,5568
chr8,0.61,4615.5
chr8,0.62,3930
chr8,0.63,3043
chr8,0.64,2660
chr8,0.65,2150
chr8,0.66,1730.5
chr8,0.67,1201.5
chr8,0.68,978
chr8,0.69,711.5
chr8,0.7,528
chr8,0.71,408.5
chr8,0.72,322
chr8,0.73,237
chr8,0.74,204
chr8,0.75,170
chr8,0.76,129.5
chr8,0.77,109.5
chr8,0.78,91.5
chr8,0.79,77
chr8,0.8,59
chr9,0.2,273
chr9,0.21,654
chr9,0.22,1495
chr9,0.23,2898.5
chr9,0.24,4838.5
chr9,0.25,7830.5
chr9,0.26,11215
chr9,0.27,15475.5
chr9,0.28,21025
chr9,0.29,24754
chr9,0.3,30334.5
chr9,0.31,34568
chr9,0.32,39395.5
chr9,0.33,40706
chr9,0.34,48951.5
chr9,0.35,48950
chr9,0.36,51205
chr9,0.37,49625.5
chr9,0.38,53095
chr9,0.39,50983.5
chr9,0.4,50065.5
chr9,0.41,47624.5
chr9,0.42,45851
chr9,0.43,43056
chr9,0.44,41148
chr9,0.45,39353
chr9,0.46,37562.5
chr9,0.47,33868.5
chr9,0.48,32364
chr9,0.49,31739
chr9,0.5,26843
chr9,0.51,28351.5
chr9,0.52,24859.5
chr9,0.53,21850
chr9,0.54,19092
chr9,0.55,15653.5
chr9,0.56,12609
chr9,0.57,10713.5
chr9,0.58,8899.5
chr9,0.59,7661.5
chr9,0.6,6682.5
chr9,0.61,5702
chr9,0.62,4984
chr9,0.63,3985
chr9,0.64,3496.5
chr9,0.65,2892.5
chr9,0.66,2380.5
chr9,0.67,1660
chr9,0.68,1345
chr9,0.69,986.5
chr9,0.7,712
chr9,0.71,488
chr9,0.72,378.5
chr9,0.73,262.5
chr9,0.74,208
chr9,0.75,164.5
chr9,0.76,140
chr9,0.77,122
chr9,0.78,103
chr9,0.79,77.5
chr9,0.8,64
chr10,0.2,320
chr10,0.21,766.5
chr10,0.22,1706
chr10,0.23,3263
chr10,0.24,5590.5
chr10,0.25,9064
chr10,0.26,12803
chr10,0.27,17466.5
chr10,0.28,23932.5
chr10,0.29,28067.5
chr10,0.3,34508.5
chr10,0.31,39414
chr10,0.32,44412.5
chr10,0.33,45652.5
chr10,0.34,55124.5
chr10,0.35,55249
chr10,0.36,57744
chr10,0.37,56051.5
chr10,0.38,60127
chr10,0.39,58236.5
chr10,0.4,57290
chr10,0.41,54871.5
chr10,0.42,53550
chr10,0.43,50905
chr10,0.44,49116.5
chr10,0.45,47903.5
chr10,0.46,46669
chr10,0.47,43333
chr10,0.48,41980.5
chr10,0.49,41903.5
chr10,0.5,35728.5
chr10,0.51,37764
chr10,0.52,33212.5
chr10,0.53,29054
chr10,0.54,25230
chr10,0.55,20531
chr10,0.56,16579
chr10,0.57,13787.5
chr10,0.58,11177
chr10,0.59,9328.5
chr10,0.6,7727
chr10,0.61,6190.5
chr10,0.62,5019
chr10,0.63,3674.5
chr10,0.64,3042
chr10,0.65,2288
chr10,0.66,1786.5
chr10,0.67,1193.5
chr10,0.68,962
chr10,0.69,694
chr10,0.7,519.5
chr10,0.71,388
chr10,0.72,325
chr10,0.73,254
chr10,0.74,205
chr10,0.75,179
chr10,0.76,143.5
chr10,0.77,126.5
chr10,0.78,110.5
chr10,0.79,83
chr10,0.8,69.5
chr11,0.2,320
chr11,0.21,774.5
chr11,0.22,1772.5
chr11,0.23,3317.5
chr11,0.24,5616
chr11,0.25,9108
chr11,0.26,12713
chr11,0.27,17482
chr11,0.28,23782.5
chr11,0.29,27877
chr11,0.3,34544
chr11,0.31,39828.5
chr11,0.32,45226.5
chr11,0.33,47311.5
chr11,0.34,57392.5
chr11,0.35,57882.5
chr11,0.36,60434.5
chr11,0.37,58763
chr11,0.38,62333.5
chr11,0.39,59746
chr11,0.4,58286
chr11,0.41,55320.5
chr11,0.42,53577
chr11,0.43,50284.5
chr11,0.44,47819.5
chr11,0.45,46034
chr11,0.46,44171.5
chr11,0.47,40353
chr11,0.48,39119.5
chr11,0.49,38836
chr11,0.5,33105.5
chr11,0.51,34975
chr11,0.52,30924.5
chr11,0.53,27159
chr11,0.54,24091.5
chr11,0.55,20145.5
chr11,0.56,16600.5
chr11,0.57,14084.5
chr11,0.58,11627.5
chr11,0.59,9860.5
chr11,0.6,8468
chr11,0.61,7160
chr11,0.62,6136.5
chr11,0.63,4719.5
chr11,0.64,4160.5
chr11,0.65,3257
chr11,0.66,2738
chr11,0.67,1863
chr11,0.68,1476.5
chr11,0.69,1070
chr11,0.7,793
chr11,0.71,564.5
chr11,0.72,436.5
chr11,0.73,314.5
chr11,0.74,251
chr11,0.75,207.5
chr11,0.76,172
chr11,0.77,141.5
chr11,0.78,118
chr11,0.79,94
chr11,0.8,78
chr12,0.2,370.5
chr12,0.21,922.5
chr12,0.22,2067.5
chr12,0.23,3865.5
chr12,0.24,6498
chr12,0.25,10429
chr12,0.26,14656
chr12,0.27,19782
chr12,0.28,27007
chr12,0.29,31463.5
chr12,0.3,38080
chr12,0.31,43646.5
chr12,0.32,48955
chr12,0.33,50385.5
chr12,0.34,60538
chr12,0.35,59781
chr12,0.36,62503
chr12,0.37,60024.5
chr12,0.38,63515.5
chr12,0.39,60466.5
chr12,0.4,59111
chr12,0.41,55702
chr12,0.42,53834.5
chr12,0.43,50698
chr12,0.44,48115
chr12,0.45,46175.5
chr12,0.46,44373.5
chr12,0.47,40499
chr12,0.48,38791.5
chr12,0.49,38344
chr12,0.5,32493
chr12,0.51,34116.5
chr12,0.52,29599
chr12,0.53,25672
chr12,0.54,21983.5
chr12,0.55,17295
chr12,0.56,13459
chr12,0.57,10743
chr12,0.58,8411.5
chr12,0.59,6796.5
chr12,0.6,5544
chr12,0.61,4547.5
chr12,0.62,3684
chr12,0.63,2748.5
chr12,0.64,2287
chr12,0.65,1746.5
chr12,0.66,1358.5
chr12,0.67,945.5
chr12,0.68,780.5
chr12,0.69,612.5
chr12,0.7,463
chr12,0.71,356
chr12,0.72,294
chr12,0.73,231
chr12,0.74,187.5
chr12,0.75,154.5
chr12,0.76,124
chr12,0.77,103.5
chr12,0.78,84.5
chr12,0.79,63.5
chr12,0.8,55.5
chr13,0.2,508.5
chr13,0.21,1191.5
chr13,0.22,2676.5
chr13,0.23,4816
chr13,0.24,7859
chr13,0.25,12117.5
chr13,0.26,16642
chr13,0.27,21569
chr13,0.28,28071
chr13,0.29,31304.5
chr13,0.3,36976.5
chr13,0.31,40998.5
chr13,0.32,44571.5
chr13,0.33,43967
chr13,0.34,51026
chr13,0.35,49292.5
chr13,0.36,49489
chr13,0.37,46413.5
chr13,0.38,48116
chr13,0.39,44888
chr13,0.4,42701.5
chr13,0.41,39559
chr13,0.42,37143
chr13,0.43,34081
chr13,0.44,31543.5
chr13,0.45,29318
chr13,0.46,27527.5
chr13,0.47,24177.5
chr13,0.48,22543
chr13,0.49,21693.5
chr13,0.5,17844
chr13,0.51,18081.5
chr13,0.52,15210
chr13,0.53,12833
chr13,0.54,10770.5
chr13,0.55,8373.5
chr13,0.56,6385
chr13,0.57,4945.5
chr13,0.58,3798.5
chr13,0.59,2944
chr13,0.6,2369
chr13,0.61,1864
chr13,0.62,1476
chr13,0.63,1098.5
chr13,0.64,913
chr13,0.65,722.5
chr13,0.66,601.5
chr13,0.67,415
chr13,0.68,362.5
chr13,0.69,282.5
chr13,0.7,230
chr13,0.71,181.5
chr13,0.72,154.5
chr13,0.73,116
chr13,0.74,94
chr13,0.75,83.5
chr13,0.76,67
chr13,0.77,61
chr13,0.78,50
chr13,0.79,41
chr13,0.8,34.5
chr14,0.2,263.5
chr14,0.21,633
chr14,0.22,1459.5
chr14,0.23,2729.5
chr14,0.24,4477.5
chr14,0.25,7218.5
chr14,0.26,10272.5
chr14,0.27,13830
chr14,0.28,18687.5
chr14,0.29,21688.5
chr14,0.3,26457.5
chr14,0.31,29980.5
chr14,0.32,33673.5
chr14,0.33,34361
chr14,0.34,40721.5
chr14,0.35,40404.5
chr14,0.36,42000.5
chr14,0.37,40024.5
chr14,0.38,42614
chr14,0.39,40863
chr14,0.4,39497.5
chr14,0.41,37198
chr14,0.42,35991
chr14,0.43,33750
chr14,0.44,31875.5
chr14,0.45,30659.5
chr14,0.46,29466
chr14,0.47,26750.5
chr14,0.48,25479.5
chr14,0.49,25032
chr14,0.5,21075.5
chr14,0.51,22353.5
chr14,0.52,19473
chr14,0.53,16952
chr14,0.54,14733
chr14,0.55,11793
chr14,0.56,9268.5
chr14,0.57,7633
chr14,0.58,6149
chr14,0.59,5040
chr14,0.6,4281
chr14,0.61,3591.5
chr14,0.62,3099.5
chr14,0.63,2443.5
chr14,0.64,2133.5
chr14,0.65,1695
chr14,0.66,1446
chr14,0.67,1058
chr14,0.68,848.5
chr14,0.69,620
chr14,0.7,446.5
chr14,0.71,309.5
chr14,0.72,249
chr14,0.73,189
chr14,0.74,149
chr14,0.75,127
chr14,0.76,99
chr14,0.77,83.5
chr14,0.78,69.5
chr14,0.79,60
chr14,0.8,50
chr15,0.2,156.5
chr15,0.21,379
chr15,0.22,819.5
chr15,0.23,1595
chr15,0.24,2756
chr15,0.25,4593
chr15,0.26,6698.5
chr15,0.27,9266.5
chr15,0.28,13014.5
chr15,0.29,15412.5
chr15,0.3,19194
chr15,0.31,22043.5
chr15,0.32,25532
chr15,0.33,26268
chr15,0.34,31972
chr15,0.35,32159.5
chr15,0.36,34111
chr15,0.37,33357
chr15,0.38,35928
chr15,0.39,35055
chr15,0.4,35039
chr15,0.41,33649
chr15,0.42,33310
chr15,0.43,31689
chr15,0.44,30853
chr15,0.45,29949
chr15,0.46,29453
chr15,0.47,27219
chr15,0.48,26557
chr15,0.49,26584.5
chr15,0.5,22646
chr15,0.51,24207
chr15,0.52,21434
chr15,0.53,18859.5
chr15,0.54,16460.5
chr15,0.55,13355
chr15,0.56,10673
chr15,0.57,8800.5
chr15,0.58,7172
chr15,0.59,5916.5
chr15,0.6,4882.5
chr15,0.61,3876.5
chr15,0.62,3056.5
chr15,0.63,2190
chr15,0.64,1718
chr15,0.65,1248.5
chr15,0.66,909.5
chr15,0.67,577.5
chr15,0.68,460
chr15,0.69,330
chr15,0.7,249.5
chr15,0.71,200.5
chr15,0.72,191
chr15,0.73,148.5
chr15,0.74,128
chr15,0.75,118.5
chr15,0.76,105.5
chr15,0.77,89
chr15,0.78,74.5
chr15,0.79,64.5
chr15,0.8,54.5
chr16,0.2,81.5
chr16,0.21,202
chr16,0.22,488
chr16,0.23,908
chr16,0.24,1593.5
chr16,0.25,2698.5
chr16,0.26,4005.5
chr16,0.27,5644
chr16,0.28,7966
chr16,0.29,9597.5
chr16,0.3,12289.5
chr16,0.31,14346
chr16,0.32,16885.5
chr16,0.33,18441.5
chr16,0.34,23118
chr16,0.35,24335
chr16,0.36,26433.5
chr16,0.37,26589
chr16,0.38,29595
chr16,0.39,29529
chr16,0.4,30194
chr16,0.41,30001.5
chr16,0.42,30888
chr16,0.43,30436
chr16,0.44,30510.5
chr16,0.45,30805.5
chr16,0.46,30876
chr16,0.47,29651.5
chr16,0.48,29621
chr16,0.49,30255
chr16,0.5,26183
chr16,0.51,28311.5
chr16,0.52,25212
chr16,0.53,22148.5
chr16,0.54,19220.5
chr16,0.55,15803
chr16,0.56,12729.5
chr16,0.57,10601.5
chr16,0.58,8654.5
chr16,0.59,7397.5
chr16,0.6,6507.5
chr16,0.61,5599.5
chr16,0.62,4797.5
chr16,0.63,3944.5
chr16,0.64,3612
chr16,0.65,3043
chr16,0.66,2664
chr16,0.67,1939.5
chr16,0.68,1623.5
chr16,0.69,1222.5
chr16,0.7,900.5
chr16,0.71,625.5
chr16,0.72,466
chr16,0.73,327.5
chr16,0.74,225.5
chr16,0.75,188
chr16,0.76,146
chr16,0.77,113.5
chr16,0.78,101
chr16,0.79,74.5
chr16,0.8,64
chr17,0.2,85.5
chr17,0.21,218
chr17,0.22,507.5
chr17,0.23,971
chr17,0.24,1665
chr17,0.25,2727.5
chr17,0.26,4007
chr17,0.27,5681
chr17,0.28,7889.5
chr17,0.29,9420
chr17,0.3,11951
chr17,0.31,14036.5
chr17,0.32,16137.5
chr17,0.33,17110
chr17,0.34,20932
chr17,0.35,21595
chr17,0.36,23181.5
chr17,0.37,23006
chr17,0.38,25371.5
chr17,0.39,25386
chr17,0.4,25818.5
chr17,0.41,25805.5
chr17,0.42,26236
chr17,0.43,26103.5
chr17,0.44,26158
chr17,0.45,26703
chr17,0.46,27474.5
chr17,0.47,26811
chr17,0.48,27335.5
chr17,0.49,28999.5
chr17,0.5,26102.5
chr17,0.51,29616
chr17,0.52,27514.5
chr17,0.53,25354.5
chr17,0.54,22974
chr17,0.55,19179
chr17,0.56,16055
chr17,0.57,13722.5
chr17,0.58,11676.5
chr17,0.59,10150
chr17,0.6,8868
chr17,0.61,7745
chr17,0.62,6567
chr17,0.63,5132.5
chr17,0.64,4362.5
chr17,0.65,3472.5
chr17,0.66,2849
chr17,0.67,1901
chr17,0.68,1511
chr17,0.69,1089
chr17,0.7,784.5
chr17,0.71,566.5
chr17,0.72,445.5
chr17,0.73,328.5
chr17,0.74,268.5
chr17,0.75,220.5
chr17,0.76,183.5
chr17,0.77,155.5
chr17,0.78,133
chr17,0.79,107
chr17,0.8,90
chr18,0.2,274
chr18,0.21,634
chr18,0.22,1450.5
chr18,0.23,2755.5
chr18,0.24,4497.5
chr18,0.25,7131
chr18,0.26,9919
chr18,0.27,13285
chr18,0.28,17882
chr18,0.29,20721.5
chr18,0.3,25004.5
chr18,0.31,28029
chr18,0.32,31338
chr18,0.33,31647.5
chr18,0.34,37486.5
chr18,0.35,36931
chr18,0.36,38218
chr18,0.37,36246
chr18,0.38,38307
chr18,0.39,36530
chr18,0.4,35432.5
chr18,0.41,33289.5
chr18,0.42,32158.5
chr18,0.43,29577
chr18,0.44,28054.5
chr18,0.45,26476.5
chr18,0.46,25064
chr18,0.47,22642
chr18,0.48,21469.5
chr18,0.49,20840
chr18,0.5,16921.5
chr18,0.51,17373.5
chr18,0.52,14806.5
chr18,0.53,12598
chr18,0.54,10666
chr18,0.55,8436
chr18,0.56,6565.5
chr18,0.57,5258.5
chr18,0.58,4055
chr18,0.59,3236
chr18,0.6,2594
chr18,0.61,1978.5
chr18,0.62,1575.5
chr18,0.63,1133
chr18,0.64,912.5
chr18,0.65,682
chr18,0.66,538
chr18,0.67,373
chr18,0.68,309.5
chr18,0.69,248.5
chr18,0.7,199
chr18,0.71,158.5
chr18,0.72,134
chr18,0.73,112.5
chr18,0.74,98.5
chr18,0.75,85
chr18,0.76,68
chr18,0.77,60.5
chr18,0.78,50.5
chr18,0.79,43
chr18,0.8,35
chr19,0.2,51
chr19,0.21,117
chr19,0.22,239
chr19,0.23,452
chr19,0.24,754
chr19,0.25,1174.5
chr19,0.26,1694.5
chr19,0.27,2316
chr19,0.28,3192
chr19,0.29,3718.5
chr19,0.3,4716.5
chr19,0.31,5586
chr19,0.32,6571
chr19,0.33,7178.5
chr19,0.34,9181.5
chr19,0.35,10013
chr19,0.36,10956.5
chr19,0.37,10996.5
chr19,0.38,12158.5
chr19,0.39,12181.5
chr19,0.4,12575
chr19,0.41,13088
chr19,0.42,13878
chr19,0.43,14382
chr19,0.44,15305.5
chr19,0.45,16274.5
chr19,0.46,17689
chr19,0.47,18060
chr19,0.48,19396
chr19,0.49,21529.5
chr19,0.5,20243
chr19,0.51,23465.5
chr19,0.52,22406
chr19,0.53,20937
chr19,0.54,19232.5
chr19,0.55,16126
chr19,0.56,13270.5
chr19,0.57,11443
chr19,0.58,9555.5
chr19,0.59,8478
chr19,0.6,7541
chr19,0.61,6681
chr19,0.62,5967.5
chr19,0.63,4919
chr19,0.64,4376
chr19,0.65,3661
chr19,0.66,3210.5
chr19,0.67,2330.5
chr19,0.68,1949.5
chr19,0.69,1463.5
chr19,0.7,1151.5
chr19,0.71,818.5
chr19,0.72,680
chr19,0.73,481.5
chr19,0.74,372.5
chr19,0.75,294
chr19,0.76,227.5
chr19,0.77,182.5
chr19,0.78,147
chr19,0.79,102.5
chr19,0.8,83
chr20,0.2,82.5
chr20,0.21,194
chr20,0.22,458
chr20,0.23,876.5
chr20,0.24,1441
chr20,0.25,2411
chr20,0.26,3561.5
chr20,0.27,5003.5
chr20,0.28,7016
chr20,0.29,8537
chr20,0.3,10834
chr20,0.31,12783.5
chr20,0.32,14792.5
chr20,0.33,15614.5
chr20,0.34,19560
chr20,0.35,20305.5
chr20,0.36,22199
chr20,0.37,22091
chr20,0.38,24654
chr20,0.39,24755.5
chr20,0.4,25496.5
chr20,0.41,25138.5
chr20,0.42,25648.5
chr20,0.43,25341
chr20,0.44,25263.5
chr20,0.45,25427
chr20,0.46,25665.5
chr20,0.47,24360
chr20,0.48,24191.5
chr20,0.49,24535.5
chr20,0.5,21243
chr20,0.51,22808
